time,signal
-0.6918114,0.001463643
-0.6885148,0.001455256
-0.6852598,0.001446971
-0.682046,0.001438778
-0.6788889,0.001430713
-0.6757585,0.001422719
-0.6726804,0.001414825
-0.6696411,0.001407045
-0.6666506,0.001399372
-0.6636961,0.001391783
-0.6607876,0.001384297
-0.6579102,0.001376895
-0.6550806,0.001369596
-0.6522867,0.001362385
-0.6495324,0.001355266
-0.6468192,0.001348247
-0.6441437,0.001341314
-0.6415054,0.00133447
-0.638909,0.001327721
-0.6363474,0.001321059
-0.6338173,0.001314478
-0.6313281,0.001307986
-0.6288766,0.001301587
-0.6264659,0.001295284
-0.624082,0.001289044
-0.6217426,0.001282913
-0.6194319,0.001276851
-0.6171567,0.001270875
-0.6149161,0.001264982
-0.6127121,0.001259178
-0.6105426,0.001253457
-0.6084077,0.001247819
-0.6063008,0.001242255
-0.6042275,0.001236769
-0.6021943,0.00123138
-0.6001848,0.00122605
-0.5982145,0.001220815
-0.5962775,0.00121566
-0.5943705,0.001210583
-0.5924935,0.001205577
-0.5906477,0.001200653
-0.5888349,0.001195808
-0.5870511,0.001191037
-0.5852993,0.001186343
-0.5835801,0.001181732
-0.5818905,0.001177195
-0.58023,0.001172731
-0.5785993,0.001168343
-0.5769987,0.001164031
-0.5754272,0.001159792
-0.5738888,0.001155635
-0.5723748,0.001151542
-0.5708955,0.001147537
-0.5694353,0.001143587
-0.5680112,0.001139722
-0.5666137,0.001135927
-0.5652481,0.001132214
-0.5639077,0.001128565
-0.5626094,0.001125018
-0.5613159,0.001121502
-0.5600541,0.001118063
-0.5588233,0.001114702
-0.5576231,0.001111418
-0.5564529,0.001108213
-0.555305,0.001105067
-0.5541819,0.00110199
-0.5530906,0.001098993
-0.5520229,0.001096062
-0.5509848,0.001093206
-0.5499708,0.001090415
-0.5489888,0.001087707
-0.5480239,0.00108505
-0.5470896,0.001082473
-0.546184,0.00107997
-0.545303,0.001077534
-0.5444492,0.001075171
-0.5436194,0.001072874
-0.5428169,0.001070651
-0.5420356,0.001068487
-0.5412813,0.001066396
-0.5405567,0.001064383
-0.5398549,0.001062433
-0.5391729,0.001060543
-0.5385135,0.001058714
-0.5379012,0.001057001
-0.5372994,0.001055324
-0.5367211,0.001053715
-0.536176,0.001052191
-0.5356474,0.001050718
-0.5351469,0.001049322
-0.5346656,0.001047982
-0.5342139,0.00104672
-0.5337858,0.001045526
-0.5333824,0.001044399
-0.533011,0.001043355
-0.5326539,0.00104236
-0.5323256,0.001041441
-0.5320224,0.001040591
-0.5317441,0.00103981
-0.5314878,0.001039093
-0.5312603,0.001038453
-0.5310533,0.001037874
-0.5308674,0.001037356
-0.5307093,0.001036913
-0.5305789,0.001036545
-0.5304686,0.001036237
-0.5303826,0.001035996
-0.5303213,0.001035825
-0.5302806,0.001035715
-0.530273,0
-0.5302823,0
-0.5303172,0
-0.5303828,0
-0.5304686,0
-0.5305775,0
-0.5307091,0
-0.530865,0
-0.5310526,0
-0.5312587,0
-0.5314864,0
-0.5317444,0
-0.5320232,0
-0.5323237,0
-0.5326545,0
-0.5330132,0
-0.5333823,0
-0.5337854,0
-0.5342123,0
-0.5346655,0
-0.5351455,0
-0.5356476,0
-0.5361742,0
-0.5367219,0
-0.5372983,0
-0.5379013,0
-0.5385246,0
-0.5391729,0
-0.5398564,0
-0.5405558,0
-0.5412831,0
-0.5420371,0
-0.5428158,0
-0.543619,0
-0.5444468,0
-0.545307,0
-0.5461845,0
-0.5470877,0
-0.5480229,0
-0.5489907,0
-0.5499731,0
-0.5509835,0
-0.5520258,0
-0.5530916,0
-0.5541828,0
-0.5552999,0
-0.5564535,0
-0.5576218,0
-0.5588233,0
-0.5600542,0
-0.5613084,0
-0.5625905,0
-0.5639077,0
-0.5652498,0
-0.566615,0
-0.5680136,0
-0.5694349,0
-0.5708917,0
-0.5723737,0
-0.573889,0
-0.5754262,0
-0.5769981,0
-0.5785986,0
-0.5802296,0
-0.5818902,0
-0.5835796,0
-0.5852988,0
-0.5870519,0
-0.5888345,0
-0.5906453,0
-0.5924906,0
-0.5943709,0
-0.5962762,0
-0.5982162,0
-0.600184,0
-0.6021944,0
-0.6042287,0
-0.606293,0
-0.6084054,0
-0.6105424,0
-0.612712,0
-0.6149168,0
-0.6171556,0
-0.6194335,0
-0.6217418,0
-0.6240829,0
-0.6264636,0
-0.6288753,0
-0.6313278,0
-0.6338151,0
-0.6363482,0
-0.6389083,0
-0.6415057,0
-0.6441447,0
-0.6468194,0
-0.6495309,0
-0.6522871,0
-0.6550817,0
-0.6579072,0
-0.6607813,0
-0.6636957,0
-0.6666526,0
-0.6696367,0
-0.6726819,0
-0.6757622,0
-0.678889,0
-0.6820562,0
-0.6852617,0
-0.6885166,0
-0.6918107,0
-0.6951557,0
-0.6985466,0
-0.7019797,0
-0.7054577,0
-0.7089891,0
-0.7125672,0
-0.7161879,0
-0.7198611,0
-0.7235857,0
-0.7273526,0
-0.7311764,0
-0.7350461,0
-0.7389787,0
-0.7429535,0
-0.7469843,0
-0.751069,0
-0.7552102,0
-0.759398,0
-0.7636511,0
-0.7679589,0
-0.7723191,0
-0.7767409,0
-0.7812235,0
-0.7857614,0
-0.7903661,0
-0.7950246,0
-0.7997461,0
-0.8045335,0
-0.8093793,0
-0.8142925,0
-0.8192731,0
-0.8243182,0
-0.829433,0
-0.8346147,0
-0.8398632,0
-0.8451826,0
-0.8505744,0
-0.8560399,0
-0.8615752,0
-0.8671875,0
-0.872874,0
-0.87864,0
-0.8844776,0
-0.8904068,0
-0.8964135,0
-0.9024872,0
-0.908654,0
-0.9149062,0
-0.9212399,0
-0.9276611,0
-0.9341698,0
-0.9407697,0
-0.947462,0
-0.9542465,0
-0.9611248,0
-0.968099,0
-0.9751667,0
-0.9823452,0
-0.9896143,0
-0.9969893,0
-1.004466,0
-1.012054,0
-1.019746,0
-1.027544,0
-1.035462,0
-1.043495,0
-1.051639,0
-1.059902,0
-1.068287,0
-1.076785,0
-1.085427,0
-1.094181,0
-1.103079,0
-1.112096,0
-1.121251,0
-1.130541,0
-1.139984,0
-1.149566,0
-1.159283,0
-1.169162,0
-1.179185,0
-1.189367,0
-1.199707,0
-1.210207,0
-1.220878,0
-1.231712,0
-1.242718,0
-1.253905,0
-1.265266,0
-1.276817,0
-1.288559,0
-1.300491,0
-1.312618,0
-1.32495,0
-1.337494,0
-1.350241,0
-1.363194,0
-1.376379,0
-1.389794,0
-1.403438,0
-1.417322,0
-1.431451,0
-1.445831,0
-1.460462,0
-1.475368,0
-1.490535,0
-1.505985,0
-1.521713,0
-1.537744,0
-1.55407,0
-1.570706,0
-1.587654,0
-1.604932,0
-1.622555,0
-1.640521,0
-1.65884,0
-1.67753,0
-1.696596,0
-1.716048,0
-1.735901,0
-1.756164,0
-1.77688,0
-1.79802,0
-1.819618,0
-1.841683,0
-1.864247,0
-1.887302,0
-1.910887,0
-1.935009,0
-1.95969,0
-1.984951,0
-2.010811,0
-2.037298,0
-2.064417,0
-2.092241,0
-2.120741,0
-2.149979,0
-2.179971,0
-2.210753,0
-2.24236,0
-2.274826,0
-2.308187,0
-2.342482,0
-2.377763,0
-2.414072,0
-2.451454,0
-2.489964,0
-2.529664,0
-2.570602,0
-2.612861,0
-2.656502,0
-2.701601,0
-2.74824,0
-2.796511,0
-2.846505,0
-2.898335,0
-2.952118,0
-3.007971,0
-3.066035,0
-3.126465,0
-3.189424,0
-3.255095,0
-3.323682,0
-3.395413,0
-3.470545,0
-3.549345,0
-3.632142,0
-3.71929,0
-3.811191,0
-3.908313,0
-4.011161,0
-4.120352,0
-4.236576,0
-4.360653,0
-4.493488,0
-4.636223,0
-4.790153,0
-4.956856,0
-5.138204,0
-5.336507,0
-5.554587,0
-5.795944,0
-6.065023,0
-6.367487,0
-6.71069,0
-7.104449,0
-7.561966,0
-8.101689,0
-8.750029,0
-9.546268,0
-10.55144,0
-11.86596,0
-13.66741,0
-16.30242,0
-20.55078,0
-28.60995,0
-50.00191,0
-284.6803,0
67.17552,0
28.0015,0
16.75606,0
11.38799,0
8.22194,0
6.117167,0
4.603806,0
3.452846,0
2.539215,0
1.788799,0
1.154777,0
0.606093,0
0.1212541,0
-0.3151663,0
-0.7145488,0
-1.085572,0
-1.435014,0
-1.768318,0
-2.089975,0
-2.403809,0
-2.713117,0
-3.020918,0
-3.329984,0
-3.64298,0
-3.96254,0
-4.29137,0
-4.632278,0
-4.988319,0
-5.362852,0
-5.759669,0
-6.183119,0
-6.638311,0
-7.131286,0
-7.669392,0
-8.261621,0
-8.919203,0
-9.656358,0
-10.49149,0
-11.44882,0
-12.561,0
-13.8731,0
-15.44931,0
-17.38432,0
-19.82385,0
-23.00454,0
-27.33832,0
-33.61136,0
-43.53454,0
-61.66996,0
-105.6138,0
-368.9203,0
245.2256,0
91.59409,0
56.08164,0
40.25406,0
31.27199,0
25.4669,0
21.39344,0
18.36688,0
16.02081,0
14.14133,0
12.59519,0
11.29492,0
10.18067,0
9.210109,0
8.352268,0
7.584025,0
6.887632,0
6.249196,0
5.657617,0
5.103834,0
4.580315,0
4.08064,0
3.59924,0
3.131121,0
2.671747,0
2.216811,0
1.762167,0
1.303649,0
0.8369783,0
0.3575892,0
-0.1394779,0
-0.6598019,0
-1.209788,0
-1.796979,0
-2.430408,0
-3.121195,0
-3.883188,0
-4.73413,0
-5.69716,0
-6.803188,0
-8.094544,0
-9.63107,0
-11.5002,0
-13.83519,0
-16.8499,0
-20.91067,0
-26.70225,0
-35.66989,0
-51.48203,0
-86.97768,0
-240.5879,0
373.5714,0
110.2819,0
66.35851,0
48.24459,0
38.34406,0
32.09491,0
27.78634,0
24.63227,0
22.2209,0
20.31564,0
18.77087,0
17.49204,0
16.41509,0
15.49508,0
14.69951,0
14.00434,0
13.39137,0
12.84658,0
12.35898,0
11.91986,0
11.5222,0
11.16029,0
10.82943,0
10.52573,0
10.24592,0
9.987247,0
9.747409,0
9.524363,0
9.316413,0
9.122065,0
8.940024,0
8.769166,0
8.608511,0
8.457157,0
8.314342,0
8.179384,0
8.05167,0
7.930647,0
7.815822,0
7.706758,0
7.603054,0
7.504337,0
7.410294,0
7.320623,0
7.23505,0
7.153329,0
7.075229,0
7.000547,0
6.92909,0
6.860677,0
6.795139,0
6.732365,0
6.672167,0
6.614446,0
6.559067,0
6.505934,0
6.454941,0
6.405987,0
6.358981,0
6.313851,0
6.270509,0
6.228895,0
6.188924,0
6.150544,0
6.1137,0
6.078327,0
6.04438,0
6.011799,0
5.980545,0
5.950582,0
5.92186,0
5.894337,0
5.86799,0
5.842781,0
5.818674,0
5.795641,0
5.773612,0
5.752699,0
5.732734,0
5.713742,0
5.695698,0
5.67859,0
5.662394,0
5.647084,0
5.632664,0
5.619094,0
5.606378,0
5.594497,0
5.583436,0
5.573173,0
5.563736,0
5.555074,0
5.547198,0
5.540099,0
5.533755,0
5.528179,0
5.52336,0
5.519288,0
5.515958,0
5.513379,0
5.51153,0
5.510422,0
